,artist_name,track_name,track_id,popularity,release_date
0,Armin van Buuren,Phone Down,4SfVQLwhg7lKwuEfFwIBAc,62,2019-04-19
1,Armin van Buuren,Lifting You Higher (ASOT 900 Anthem) - Blasterjaxx Remix,32iD965RO5haquFAlq5jhz,64,2019-02-22
2,Armin van Buuren,Blah Blah Blah,2xkrujtSjZz7EKAYGbIIzH,69,2018-05-18
3,Armin van Buuren,Phone Down - Club Mix,1PyBSWc1OxMfH5kdnN0BBm,53,2019-04-26
4,Armin van Buuren,Drowning - Avicii Remix,19XDJlw6WxC4XOKC1LGKid,63,2011-03-15
5,Armin van Buuren,Don't Give Up On Me,5hw9RzFpyZqkW7ADN2NKeO,66,2019-03-29
6,Armin van Buuren,Turn It Up,0yrlRdgnfEFvk5zlZ9yCKy,65,2019-03-15
7,Armin van Buuren,La Résistance De L'Amour,6S8guOqNNvTzv0CsdxuG7G,63,2019-04-12
8,Armin van Buuren,Wild Wild Son - Club Mix,45Lu4PnbPH7fARZ82nMS3P,57,2018-10-19
9,Armin van Buuren,Sunny Days,6RrUUleT9JI0KQHZYBdJMB,59,2017-06-16
10,Armin van Buuren,Therapy,7K0trO4bMEWjSiFGPG5LTQ,60,2018-04-20
11,Armin van Buuren,This Is What It Feels Like,6NdkzOSCLzmyV9Qc4DKhJ2,56,2013-04-05
12,Armin van Buuren,I Need You (feat. Olaf Blackwood),4cCpGAUlYDh88uuU7pcdN8,55,2017-01-06
13,Armin van Buuren,Another You,1u6LOWtdWA2wwa3CryIBsS,58,2015-04-21
14,Armin van Buuren,Wild Wild Son,3QC33AxvY2sdxq22ym3aSL,64,2018-10-12
15,Armin van Buuren,Lonely For You - Zack Martino Remix,08mJIS91BbhWHDcE4Ag7us,52,2019-03-22
16,Armin van Buuren,Don't Give Up On Me - Club Mix,3timLnS1O72NzeRj22KrFd,52,2019-04-05
17,Armin van Buuren,Lonely For You,6PYaWh3NmpTSBi1yoZfcNb,58,2019-02-15
18,Armin van Buuren,Blah Blah Blah,5khPVYWIdAE0kSTqekYIwB,54,2018-06-08
19,Armin van Buuren,United,2AG8rOY3Gzd2pL1kBpluGt,59,2018-08-03
20,Armin van Buuren,United,4pBykn8eWxl3O9JvIHZXj4,62,2018-08-08
21,Armin van Buuren,Lonely For You - Club Mix,3IMsGrRDTQqq7zsD8Kh5Ue,51,2019-02-18
22,Armin van Buuren,"Sex, Love & Water",6eRd45fvX9mQG6AyHQGCKG,49,2018-02-02
23,Armin van Buuren,Blah Blah Blah - Brennan Heart & Toneshifterz Remix,0AFNuf1O7TwOQrtRcb5SEl,52,2018-07-06
24,Armin van Buuren,Ping Pong - Hardwell Remix,1NM2NUzlN9SY8z5k4ZfRJB,51,2014-04-28
